ART_GRP_SE,ARCHV_ARTST_NM,NM,VRIT_MARK_CN,REALM_CL,ACT_RELM_CN,BIRTH_YEAR,RSRCH_MAN_NM,URL
ARTST,예술인,심옥식,SHIM Okshik,창작음악,한국현대음악,1959,,https://www.daarts.or.kr/handle/11080/67675
ARTST,예술인,장민석,JANG Min Seok,창작음악,한국현대음악,1995,,https://www.daarts.or.kr/handle/11080/113466
ARTST,예술인,홍현숙,Hong hyun sook,시각예술,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19678
ARTST,예술인,계낙영,Kye nak young,시각예술,미술작가,1948,,https://www.daarts.or.kr/handle/11080/19222
ARTGR,예술단체,극단 산으로 간 어부,,공연단체,,,,https://www.daarts.or.kr/handle/11080/51181
FARTST,미술작가,김보희,Kim bo hie,회화,,1952,,https://www.daarts.or.kr/handle/11080/19273
ARTST,예술인,변시지,邊時志,시각예술,서양화,1926,,https://www.daarts.or.kr/handle/11080/6034
FARTST,미술작가,유영국,Yoo young kuk,회화,,1916,,https://www.daarts.or.kr/handle/11080/19485
ARTST,예술인,이재삼,Lee jae sam,시각예술,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19540
ARTST,예술인,김춘옥,Kim chun ok,시각예술,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19330
ARTST,예술인,엄옥자,嚴玉子,공연예술,한국무용,1943,,https://www.daarts.or.kr/handle/11080/6343
ARTST,예술인,권옥연,Kwon ok youn,시각예술,서양화,1923,,https://www.daarts.or.kr/handle/11080/5958
ARTST,예술인,나인용,羅仁容,공연예술,작곡,1936,,https://www.daarts.or.kr/handle/11080/23364
DIC,구술채록,이정호,李貞浩,문학,문학,1930,박선애,https://www.daarts.or.kr/handle/11080/16706
ARTST,예술인,강태성,Kang tae seong,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19219
ARTST,예술인,성옥희,Sung ok hi,시각예술,미술작가,1935,,https://www.daarts.or.kr/handle/11080/19424
ARTST,예술인,정광호,Cheong kwang ho,시각예술,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19587
ARTST,예술인,이강숙,李康淑,공연예술,음악학,1936,,https://www.daarts.or.kr/handle/11080/49474
FARTST,미술작가,이준,"Lee, Joon",회화,,1919,,https://www.daarts.or.kr/handle/11080/19551
ARTST,예술인,묵계월,"墨桂月, 본명 이경옥(李瓊玉)",공연예술,경기민요,1921,,https://www.daarts.or.kr/handle/11080/6276
ARTST,예술인,변창순,邊昌順,공연예술,무대미술,1947,,https://www.daarts.or.kr/handle/11080/73585
ARTST,예술인,황영성,Hwang young sung,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19680
ARTGR,예술단체,(주)삼형제엔터테인먼트,,공연단체,,,,https://www.daarts.or.kr/handle/11080/51657
FARTST,미술작가,이영수,Lee young su,회화,,1944,,https://www.daarts.or.kr/handle/11080/19530
ARTST,예술인,최창석,"崔昌錫, CHOI Chang Seok",창작음악,한국현대음악,1969,,https://www.daarts.or.kr/handle/11080/84045
ARTST,예술인,이열모,Lee yul mo,시각예술,미술작가,1933,,https://www.daarts.or.kr/handle/11080/19528
ARTST,예술인,정관모,Chung kwan mo,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19586
ARTST,예술인,송혜수,宋慧秀,시각예술,서양화,1913,,https://www.daarts.or.kr/handle/11080/6124
ARTST,예술인,권성현,Kweon Seonghyeon,창작음악,한국현대음악,1972,,https://www.daarts.or.kr/handle/11080/49065
ARTST,예술인,김근중,Kim keun joong,시각예술,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19260
ARTST,예술인,김인겸,Kim in kyum,시각예술,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19304
ARTST,예술인,양자경,Jackie YANG,창작음악,한국현대음악,1987,,https://www.daarts.or.kr/handle/11080/92481
ARTST,예술인,전현석,JUN Hyunsuk,창작음악,한국현대음악,1978,,https://www.daarts.or.kr/handle/11080/84072
ARTST,예술인,목진덕,,공연예술,연극,1967,,https://www.daarts.or.kr/handle/11080/134623
DIC,구술채록,김규동,金奎東,문학,문학,1925,김성수,https://www.daarts.or.kr/handle/11080/16089
FARTST,미술작가,임응식,Limb eung sik,사진,,1912,,https://www.daarts.or.kr/handle/11080/19565
FARTST,미술작가,최인선,Choi in sun,회화,,1964,,https://www.daarts.or.kr/handle/11080/19642
ARTST,예술인,한영섭,Han young sup,시각예술,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19655
ARTST,예술인,한묵,"韓默, 본명 백유",시각예술,"서양화, 판화",1914,,https://www.daarts.or.kr/handle/11080/119985
ARTST,예술인,윤이상,"尹伊桑, YUN Isang",창작음악,한국현대음악,1917,,https://www.daarts.or.kr/handle/11080/163392
ARTST,예술인,이영자,李英子,공연예술,작곡,1931,,https://www.daarts.or.kr/handle/11080/60639
ARTST,예술인,이승택,Lee seung teak,시각예술,미술작가,1932,,https://www.daarts.or.kr/handle/11080/19524
FARTST,미술작가,강경구,Kang kyung koo,회화,,1952,,https://www.daarts.or.kr/handle/11080/19200
ARTST,예술인,심영철,Shim young chul,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19438
ARTST,예술인,조사방,"趙思芳, CHO Sabang",창작음악,한국현대음악,1972,,https://www.daarts.or.kr/handle/11080/163731
ARTST,예술인,석난희,Suk ran hi,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19418
ARTST,예술인,황용엽,Hwang yong yop,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19681
ARTST,예술인,홍순주,Hong soon joo,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19672
ARTGR,예술단체,공연집단 꾼,,공연단체,,,,https://www.daarts.or.kr/handle/11080/51927
ARTST,예술인,정탁영,鄭晫永,시각예술,한국화,1937,,https://www.daarts.or.kr/handle/11080/5854
FARTST,미술작가,임송자,Rim song ja,조각,,1940,,https://www.daarts.or.kr/handle/11080/19561
ARTGR,예술단체,꿈꾸는씨어터(주),,,,,,https://www.daarts.or.kr/handle/11080/21539
ARTST,예술인,최미레,,공연예술,무용,1994,,https://www.daarts.or.kr/handle/11080/70432
ARTST,예술인,이애련,"李愛蓮, LEE Aelyun",창작음악,한국현대음악,1966,,https://www.daarts.or.kr/handle/11080/58399
FARTST,미술작가,고명근,Koh myung keun,설치,,1964,,https://www.daarts.or.kr/handle/11080/19223
ARTST,예술인,김대열,Kim Daeyeoul,시각예술,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19266
ARTST,예술인,김온경,金昷慶,공연예술,한국민속무용,1938,,https://www.daarts.or.kr/handle/11080/6301
