PAVLN_CHARST,DSPY_NM,FSPY_BGNDE,DSPY_ENNDE,DSPY_STATE_CD,DSPY_STATE_NM,PLACE,OPEN_DATE,OPEN_TIME,MNNST,WRITR,PRDCT,TIME_CHARST,VIEWING_CHARST,EBOOK_URL,EBOOK_NM,DSPY_IMAGE_URL,DSPY_IMAGE_NM,DSPY_ENG_NM,DSPY_ENG_CN,RDCNT
1관,Into Drawing 29 악한 목동,20151224,20160110,P,종료    ,소마드로잉센터 전시실(제5전시실),,,국민체육진흥공단 소마미술관,최대진 Daejin Choi,"드로잉, 오브제, 설치 등 10여점",10:00~18:00(입장마감 17:20)▒매주 월요일 휴관,▒▒▒메인 전시 (소마 드로잉_무심) 관람 시 무료 관람,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/558dc308-f498-4de4-9e8e-75eac8a047cd.jpg,D2015_인투드로잉29_포스터.pdf_page_1.jpg,Into Drawing 29_Gaucho Malo,,1466
1관,Drawing Now 05 인간이 된다는 것,20110505,20110529,P,종료    ,소마미술관 제6전시실,,,국민체육진흥공단 소마미술관,레오나드 어소(Leonard Urso),회화 및 조각 드로잉 14점,10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,▒▒▒메인전시 (Type Wall) 관람 시 무료 관람,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/26cb7ba6-0e4f-4728-8c54-ef764059c74b.jpg,D2011_드로잉나우05_포스터.pdf_page_1.jpg,Drawing Now 05_Being Human Being,,3886
1관,Type Wall_공간이 된 작품들,20110401,20110529,P,종료    ,소마미술관 제1~5전시실,,,국민체육진흥공단 소마미술관,"김승영+오윤석, 박기원, 박기진+임승천, 이승애, 지하루+Graham Wakefield",장소특정적 설치작품 5점,10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/f44952ac-13c1-4f3b-bd38-a7b9ff8a9789.jpg,2011_Type Wall_포스터.jpg,type: wall,,6980
1관,&ldquo;아시아 코드_空&rdquo;展개최,20131011,20131222,P,종료    ,소마미술관 제 1~4 전시실,,,국민체육진흥공단 소마미술관,"권부문, 김태호, 노상균, 육근병, 홍승희(이상 한국), 야나기 유키노리, 미야지마 타츠오,와타나베 고(이상 일본), 팡 리쥔, 가오 레이(이상 중국), 수보드 굽타(인도),준 응우옌-하츠시바(베트남), 수잔 빅터(싱가포르) (총 13명)","회화, 드로잉, 사진, 영상, 설치 등 약 30여점",10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,"성인, 대학생 3,000원, 청소년(13~18세) 2,000원, 어린이(12세이하) 1,000원▒성인, 대학생 1,500원, 청소년(13~18세) 1,000원, 어린이(12세이하) 500원▒▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/15/58234c85-888f-4f78-b6c5-caf41947f856.jpg,아시아코드_공전.JPG,Asia Code_Zero,,10003
1관,내일-오픈 아카이브_Tomorrow-Open Archive,20101202,20110313,P,종료    ,소마미술관 제1-5전시실,,,국민체육진흥공단 소마미술관,"권기범, 김건일, 김선희, 김송이, 김정향, 심래정, 박상아, 박정래, 안세은, 안재홍, 안현곤, 윤상렬, 윤소림, 윤예지, 이선주, 이소영, 이영민, 임재영, 전경화, 전지민, 정명국, 정현조, 조미영, 조원희, 조현서, 차영석, 최경주, 캐슬린 킹, 허남준","드로잉, 회화, 오브제, 설치 등 100여점","10:00~18:00(입장마감 17:00)▒매주 월요일, 신정, 설날 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/d384d070-7fcc-4dc3-8d8b-3cce0682e425.jpg,2010_오픈아카이브_포스터.pdf_page_1.jpg,TOMORROW_OPEN ARCHIVE,,9207
1관,&#39;한국드로잉30년:1970-2000&#39;展,20100916,20101121,P,종료    ,소마미술관,,,KSPO[국민체육진흥공단] SOMA[소마미술관],,"드로잉, 산업 드로잉, 멀티미디어 드로잉 등 총 300여 점",10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/6b9fe615-d73c-4efd-911c-576b7bee12ce.jpg,2010_드로잉 30년_포스터.pdf_page_1.jpg,KOREAN AVANT-GARDE DRAWING,,7823
1관,팝아트 슈퍼스타 키스해링展,20100616,20100905,P,종료    ,소마미술관 전관,,,"국민체육진흥공단, 매일경제  소마미술관, (주)엠허스트",,"실크스크린, 석판화, 에칭, 조각 등 총150여 점","10:00~18:00(입장마감 17:00)▒매주 수요일 연장 개관(10:00~21:00, 입장마감 20:00)","성인 12,000원, 청소년(13~24세) 10,000원, 어린이 8,000원▒성인 10,000원, 청소년(13~24세) 8,000원, 어린이 6,000원▒▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/7cecd0bd-57b5-4792-9ca8-6aedf9703a83.jpg,keith Haring.jpg,POP : ART SUPERSTAR KEITH HARING 2010 SEOUL,,21089
1관,"A3(Asia Art Award Forum, 아시아현대미술상포럼)展",20100408,20100606,P,종료    ,소마미술관 전관,,,"CJ문화재단, 대안공간 루프, 국민체육진흥공단 소마미술관, 대안공간 루프, CJ문화재단","Chim Pom(일본), Shi Jin Shong(중국), Yangachi(한국), Ashok Sukumaran(인도), Jompet Kuswidananto(인도네시아), Apichatopong Weerasethakul(태국)","영상, 설치 등",10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/15/c165312f-3e5a-4efb-861a-ea16bf539edd.jpg,A3_포스터.jpg,Asia Art Award,,4820
1관,"작가재조명_신성희, 한순자",20090917,20091206,P,종료    ,소마미술관 전관(제1~6전시실),,,국민체육진흥공단 소마미술관,"신성희, 한순자 2인","회화, 드로잉, 오브제, 설치작품 등 70여점","10:00~18:00(입장마감 17:00)▒1,000원 문화행복의 날(매월 넷째주 토요일) ▒도슨트 시간 : [평일] 오전 11시, 오후2시 [주말] 오전 11시, 오후 1시, 3시, 5시▒매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/d2f3dbf6-5f0f-4b98-8dfc-683c83e21ebc.jpg,2009_작가재조명_포스터.pdf_page_1.jpg,RE-DISCOVERY,,9561
1관,"드로잉조각, 공중누각(空中樓閣)",20090709,20090830,P,종료    ,소마미술관,,,"소마미술관, 국민체육진흥공단","강영민, 김세일, 박선기, 장연순, 전강옥, 함연주 총 6명",설치 작품 10여 점,10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,▒▒▒,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/d7145394-784c-4fec-9786-01bdd3506a79.jpg,2009_공중누각_포스터.pdf_page_1.jpg,Drawing Sculpture_Bulid house in the air,,4685
