TITLE,FRAME_SIZE,PRDCT_SIZE,PRDCT_CL,PRDCT_CL_NM,WRITER,NATION,LOCATION,IMAGE_URL,IMAGE_NM,RDCNT,WRHOUSNG_DT,ACQS_DT
키,44.5x34.5cm,34x23.5cm,7,드로잉,박한진,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/f048a1f5-e948-403d-87be-21245de2d5ca.jpg,119_박한진_키_soma_1810_acv__DSC0430.jpg,3,20071201,20071218
"길 위, 레이니어 산",-,70x50cm,7,드로잉,홍지연,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/0a8f0c2b-2222-45ad-bd3a-d8d9d9a6544d.jpg,210_홍지연_길 위._레이니어산_soma_1810_acv__DSC0098.jpg,102,20151228,20151228
난 괜찮아,-,41x46cm,8,오브제,장형선,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/af1c9a9d-029b-4530-bf80-6f2284ea8224.jpg,207_장형선_난 괜찮아_soma_1810_acv__DSC0095.jpg,44,20151228,20151228
두 남자의 하루,126.9x87.5,120x80,5,사진,인효진,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/3d78ab18-c003-4860-87b5-cc33728fc93d.jpg,038_인효진_두 남자의 하루_soma_1810_acv__DSC0074.jpg,5,20051201,20051230
저 남자가 가는 길,126.9x87.4cm,120x80cm,5,사진,인효진,대한민국,사업기획팀,/manage/upload_files/collection/2018/12/26/bc722b93-c58a-4aca-b882-3b448506d946.jpg,039_인효진_저 남자가 가는 길_soma_1810_acv__DSC0141.jpg,1,20051201,20051230
문.닫다-에이런의 서재,31x46cm,25.7x40.7cm,8,오브제,봉하진,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/dd2a6e9e-fe47-4c6a-b2b3-8620e170030a.jpg,105_봉하진_문. 닫다_에이런의 서재-1_soma_1810_acv__DSC0548.jpg,10,20070301,20070402
개폐,96.5x75cm,83x61cm,7,드로잉,김홍석,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/2f1f4f98-e567-4dbd-860b-13d952165a96.jpg,081_김홍석_개폐_soma_1810_acv__DSC0302.jpg,8,20061201,20061228
공간,42x58cm,31x47cm,7,드로잉,한묵,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/e18a673a-5ce0-4223-959c-7d24acf9042f.jpg,154_한묵_공간_soma_1810_acv__DSC0304.jpg,24,20081230,20090130
공원,78.6x62cm,62x45.5cm,7,드로잉,문중기,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/69b9c35b-e359-4a70-a200-a8ae7e076838.jpg,103_문중기_공원_soma_1810_acv__DSC0216 1.jpg,15,20070301,20070402
누드,43.5x54.3cm,19.3x29.8cm,7,드로잉,안재후,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/1e1c54f0-f5af-4cbc-8923-a06256dad250.jpg,068_안재후_누드_soma_1810_acv__DSC0056.jpg,7,20051201,20051230
누드,71.5x86.5cm,56.5x71.5cm,7,드로잉,김봉태,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/f8009d03-2ebe-428a-9449-36eb5d6556fc.jpg,142_김봉태_누드_soma_1810_acv__DSC0312.jpg,14,20081230,20090129
무제,-,79 x 55 cm x 6점,7,드로잉,정 현,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/85657526-60b6-4cd4-8a64-4cd878c8d98a.jpg,193_정현_무제_1_soma_1810_acv__DSC0435.jpg,31,20131219,20131219
무제,-,54*43cm,7,드로잉,귤라 코시체(장민수 님 기증),아르헨티나,수장고,/manage/upload_files/collection/2020/02/06/073a5a9c-f7d7-462e-bf7d-5bca481f37e6.jpg,20200206_102738.jpg,66,20200101,20200107
